ean,brand,productTitle,productImage,basis,kj,kcal,fat,carbs,protein,sugars,fiber,salt,saturatedFat,,,
8710863805910,Zonnatura,Zonnatura Biologische Knijpfruitjes Perzik Pompoen Banaan 4 x 85 g,https://files.vomar.nl/articles/Zonnatura-Biologische-Knijpfruitjes-Perzik-Pompoen-Banaan-4-x-85-g-8710863805910-1-637957256594219615.png,,251,60,0.5,12,0.8,11,2.3,0.1,,,,
5411188135289,Alpro,Alpro Haver Groeidrink 1-3+ Jaar Houdbaar 1L,https://static-images.jumbo.com/product_images/010520232356_455695PAK-1_360x360_2.png,,252,60,3.3,5.9,1.8,2.5,0.2,0.11,0.3,,,
5410153799686,Secrets of Asia,Secrets of Asia Basic Line Zoetzuur Roerbaksaus 520g,https://static-images.jumbo.com/product_images/030520191138_130742POT-1_360x360_2.png,,255,60,0.1,14,0.4,9,0.8,0.95,0.1,,,
8716585003795,Waterland Brewery,Waterland Brewery - Kattekwaad Amber Ale Biologisch - Fles 330ML,https://static-images.jumbo.com/product_images/040620210131_434411FLS-1_360x360_2.png,,251,60,,,,,,,,,,
5900852926334,Olvarit,Olvarit Wortel Kip Rijst 6+ Maanden 200g,https://static-images.jumbo.com/product_images/050820220102_171460POT-1_360x360_2.png,,250,60,1.3,7.739,2.7,3,2.7,0.05,0.03,,,
8718452671939,Jumbo,Jumbo Biologische Volle Biogarde Roer 500g,https://static-images.jumbo.com/product_images/090120220735_221285BKR-1_360x360_2.png,,249,60,3.5,3.5,3.5,3.5,0,,2.5,,,
8718452367016,Jumbo,Jumbo Biologische Kokosmelk 6% Vet 400ml,https://static-images.jumbo.com/product_images/090520221409_224785BLK-1_360x360_2.png,,246,60,6,0.9,0.5,0.9,0,,5.7,,,
5201065113314,El Greco,El Greco Halve Perziken op Lichte Siroop 820g,https://static-images.jumbo.com/product_images/100520191137_166368BLK-1_360x360_2.png,,256,60,0.5,14,0.5,12,,0.01,0,,,
8714700025547,HONIG,Honig Mix Groentesaus Kaas 140g,https://static-images.jumbo.com/product_images/101120220021_26966PAK-1_360x360_2.png,,251,60,2.1,8.9,1.2,0.8,0.1,1,1.2,,,
8710605021486,Go-Tan,Go-Tan Soy Sauce Japanese 500ml,https://static-images.jumbo.com/product_images/130320202314_363825FLS-1_360x360_2.png,,256,60,0,5.5,9.1,0,,13,0,,,
8710605018622,Go-Tan,Go-Tan Soy Sauce Japanese 145ml,https://static-images.jumbo.com/product_images/140320200005_363845FLS-1_360x360_2.png,,256,60,0,5.5,9.1,0,,13,0,,,
73114833,Somersby,Somersby Apple Sparkling Cider 33cl,https://static-images.jumbo.com/product_images/150420201421_168290FLS-1_360x360_2.png,,260,60,,,,,,,,,,
4062300425989,HiPP,HiPP Biologisch Groeimelk op Basis van Geitenmelk 3 vanaf de 12e Maand 400g,https://static-images.jumbo.com/product_images/160320231017_489818STK-1_360x360_2.png,,251,60,3.2,6.2,1.4,6.2,0.5,,1.3,,,
8710863805910,Zonnatura,Zonnatura Biologische Knijpfruitjes Perzik Pompoen Banaan 4 x 85g,https://static-images.jumbo.com/product_images/160620201515_80791DS-1_360x360_2.png,,251,60,0.5,12,0.8,11,2.3,0.1,0.5,,,
8718452650101,JUMBO,Jumbo Perzik op Lichte Siroop Half 820g,https://static-images.jumbo.com/product_images/180520230018_166366BLK-1_360x360_2.png,,256,60,0.1,13.5,0.4,12.3,1.5,,0,,,
